filename, Voltage, Version,Notes on when things start to get bad
20220524T181730_2614231121589262_2.0.wav,4.46,1/5/2022,good recording
20220524T182730_2614231121589262_2.0.wav,4.54,1/5/2022,
20220524T183730_2614231121589262_2.0.wav,4.54,1/5/2022,
20220524T184730_2614231121589262_2.0.wav,4.51,1/5/2022,
20220524T185730_2614231121589262_2.0.wav,4.5,1/5/2022,
20220524T190730_2614231121589262_2.0.wav,4.48,1/5/2022,
20220524T191730_2614231121589262_2.0.wav,4.43,1/5/2022,
20220524T192730_2614231121589262_2.0.wav,4.47,1/5/2022,
20220524T193730_2614231121589262_2.0.wav,4.46,1/5/2022,
20220524T194730_2614231121589262_2.0.wav,4.48,1/5/2022,
20220524T195730_2614231121589262_2.0.wav,4.44,1/5/2022,
20220524T200731_2614231121589262_2.0.wav,4.45,1/5/2022,
20220524T201731_2614231121589262_2.0.wav,4.43,1/5/2022,
20220524T202731_2614231121589262_2.0.wav,4.44,1/5/2022,
20220524T203731_2614231121589262_2.0.wav,4.44,1/5/2022,
20220524T204731_2614231121589262_2.0.wav,4.36,1/5/2022,
20220524T205731_2614231121589262_2.0.wav,4.39,1/5/2022,
20220524T210731_2614231121589262_2.0.wav,4.39,1/5/2022,
20220524T211731_2614231121589262_2.0.wav,4.37,1/5/2022,
20220524T212731_2614231121589262_2.0.wav,4.35,1/5/2022,
20220524T213731_2614231121589262_2.0.wav,4.38,1/5/2022,
20220524T214731_2614231121589262_2.0.wav,4.34,1/5/2022,
20220524T215731_2614231121589262_2.0.wav,4.38,1/5/2022,
20220524T220731_2614231121589262_2.0.wav,4.37,1/5/2022,
20220524T221731_2614231121589262_2.0.wav,4.36,1/5/2022,
20220524T222731_2614231121589262_2.0.wav,4.34,1/5/2022,
20220524T223731_2614231121589262_2.0.wav,4.36,1/5/2022,
20220524T224731_2614231121589262_2.0.wav,4.3,1/5/2022,
20220524T225731_2614231121589262_2.0.wav,4.3,1/5/2022,
20220524T230731_2614231121589262_2.0.wav,4.29,1/5/2022,
20220524T231731_2614231121589262_2.0.wav,4.32,1/5/2022,
20220524T232731_2614231121589262_2.0.wav,4.29,1/5/2022,
20220524T233731_2614231121589262_2.0.wav,4.32,1/5/2022,
20220524T234731_2614231121589262_2.0.wav,4.34,1/5/2022,
20220524T235731_2614231121589262_2.0.wav,4.31,1/5/2022,
20220525T000731_2614231121589262_2.0.wav,4.3,1/5/2022,
20220525T001731_2614231121589262_2.0.wav,4.3,1/5/2022,
20220525T002731_2614231121589262_2.0.wav,4.26,1/5/2022,
20220525T003732_2614231121589262_2.0.wav,4.26,1/5/2022,
20220525T004732_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T005732_2614231121589262_2.0.wav,4.27,1/5/2022,
20220525T010732_2614231121589262_2.0.wav,4.26,1/5/2022,
20220525T011732_2614231121589262_2.0.wav,4.3,1/5/2022,
20220525T012732_2614231121589262_2.0.wav,4.25,1/5/2022,
20220525T013732_2614231121589262_2.0.wav,4.3,1/5/2022,
20220525T014732_2614231121589262_2.0.wav,4.26,1/5/2022,
20220525T015732_2614231121589262_2.0.wav,4.26,1/5/2022,
20220525T020732_2614231121589262_2.0.wav,4.25,1/5/2022,
20220525T021732_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T022732_2614231121589262_2.0.wav,4.24,1/5/2022,
